Sex,Division,Event,Year,Points,Shift
Men,Kansas 1A,100m,2010,716,No
Men,Kansas 1A,100m,2011,632,No
Men,Kansas 1A,100m,2012,694,No
Men,Kansas 1A,100m,2013,706,No
Men,Kansas 1A,100m,2014,720,No
Men,Kansas 1A,100m,2015,707,No
Men,Kansas 1A,100m,2016,730,No
Men,Kansas 1A,100m,2017,729,No
Men,Kansas 1A,100m,2018,686,No
Men,Kansas 1A,100m,2019,726,No
Men,Kansas 1A,100m,2021,700,No
Men,Kansas 1A,100m,2022,687,No
Men,Kansas 1A,100m,2023,692,No
Men,Kansas 1A,1600m,2010,328,No
Men,Kansas 1A,1600m,2011,440,No
Men,Kansas 1A,1600m,2012,378,No
Men,Kansas 1A,1600m,2013,409,No
Men,Kansas 1A,1600m,2014,431,No
Men,Kansas 1A,1600m,2015,423,No
Men,Kansas 1A,1600m,2016,418,No
Men,Kansas 1A,1600m,2017,420,No
Men,Kansas 1A,1600m,2018,378,No
Men,Kansas 1A,1600m,2019,404,No
Men,Kansas 1A,1600m,2021,351,No
Men,Kansas 1A,1600m,2022,347,No
Men,Kansas 1A,1600m,2023,372,No
Men,Kansas 1A,200m,2010,633,No
Men,Kansas 1A,200m,2011,628,No
Men,Kansas 1A,200m,2012,650,No
Men,Kansas 1A,200m,2013,645,No
Men,Kansas 1A,200m,2014,680,No
Men,Kansas 1A,200m,2015,650,No
Men,Kansas 1A,200m,2016,667,No
Men,Kansas 1A,200m,2017,682,No
Men,Kansas 1A,200m,2018,637,No
Men,Kansas 1A,200m,2019,657,No
Men,Kansas 1A,200m,2021,644,No
Men,Kansas 1A,200m,2022,632,No
Men,Kansas 1A,200m,2023,649,No
Men,Kansas 1A,3200m,2010,310,No
Men,Kansas 1A,3200m,2011,438,No
Men,Kansas 1A,3200m,2012,290,No
Men,Kansas 1A,3200m,2013,325,No
Men,Kansas 1A,3200m,2014,336,No
Men,Kansas 1A,3200m,2015,344,No
Men,Kansas 1A,3200m,2016,339,No
Men,Kansas 1A,3200m,2017,341,No
Men,Kansas 1A,3200m,2018,302,No
Men,Kansas 1A,3200m,2019,319,No
Men,Kansas 1A,3200m,2021,254,No
Men,Kansas 1A,3200m,2022,232,No
Men,Kansas 1A,3200m,2023,262,No
Men,Kansas 1A,400m,2010,589,No
Men,Kansas 1A,400m,2011,602,No
Men,Kansas 1A,400m,2012,587,No
Men,Kansas 1A,400m,2013,602,No
Men,Kansas 1A,400m,2014,611,No
Men,Kansas 1A,400m,2015,606,No
Men,Kansas 1A,400m,2016,624,No
Men,Kansas 1A,400m,2017,612,No
Men,Kansas 1A,400m,2018,591,No
Men,Kansas 1A,400m,2019,578,No
Men,Kansas 1A,400m,2021,556,No
Men,Kansas 1A,400m,2022,560,No
Men,Kansas 1A,400m,2023,576,No
Men,Kansas 1A,800m,2010,424,No
Men,Kansas 1A,800m,2011,487,No
Men,Kansas 1A,800m,2012,428,No
